
"ID_REF"	"GSM310494"	"GSM310495"	"GSM310496"	"GSM310497"	"GSM310499"	"GSM310500"	"GSM310501"	"GSM310502"	"GSM310503"	"GSM310504"
133	-1.0	-2.8	-0.1	-2.1			-2.2	-0.8	-2.2	-2.9
134	-1.5	-2.4	-0.5	-1.7	-0.3	-0.3	-0.4	-1.2	-2.8	-3.3
135	-2.2	-2.9	-1.2	-3.4				-1.5		-4.3
136	-0.1	-1.1	0.0	-2.2	-0.8	2.6	0.3	-1.5	-1.5	-2.9
137	-2.4	-2.1	-1.7	-2.0				-0.3		-4.6
138	-0.7	-2.4	-0.4	-2.2				-0.9	-2.6	-3.2
139	-1.7	-1.8	0.1	-2.5	-1.2	1.6	-2.2	-1.2	-3.4	-5.4
140	-3.2	-4.4		-5.0				-1.0		-4.6
141	-2.5	-2.4	-2.2	-2.6		-1.2		-1.0		-4.5
142	-1.5	-1.8	0.7	-2.8	-1.5	0.9	-3.1	-0.6	-2.2	-5.6
143	-2.3	-2.6	-0.9	-3.0		-0.5		-1.6		-5.4
144	-1.7	-1.9	-1.7	-2.8		-2.3		-1.3		-4.2
145										
146										
147										
148										
149										
150										
151										
152										
153										
154	-1.3	-1.0	-0.3	-1.2	-0.1	0.9	0.4	-1.7	-3.5	-1.6
155	-0.4	-1.8	1.1	-1.8	-0.1	0.5	-0.3	-1.7	-2.4	-3.4
156	-0.2	-1.9	1.5	-1.8	-1.0	-0.3	0.1	-1.5	-2.4	-3.4
157										
158										
159	-0.2	-0.4	-0.2	-1.6	0.5	0.3	0.6	-1.8	-3.5	-2.3
160	-1.5	-1.1	-2.0	-0.7	-1.2	-0.3	0.0	-2.2	-3.5	-3.5
161	-1.5	-1.4	-0.9	-2.0	-1.2	-0.7	-1.6	-2.2	-3.4	-4.3
162	-0.4	-1.6	-0.8	-1.9	0.5	-3.0	-0.3	-1.8	-3.4	-3.0
163	-1.7	-0.4	-1.2	-2.8		-0.1	0.0	-1.9	-2.0	-3.4
164	-0.7	-0.7	-1.1	-2.7			0.1	-1.6	-2.5	-2.9
165	-0.2	-1.5	-0.9	-2.3		-0.7	0.3	-2.1	-3.0	-3.7
166	-1.8	-2.0	-1.9	-2.7				-1.7	-3.3	-3.2
167	0.6	-1.7	-1.1	-1.8	0.6	0.6	0.8	-2.1	-2.3	-2.7
168	0.5	-1.1	-1.0	-0.9	-0.2	-0.2	0.3	-1.8	-2.9	-1.5
169	0.1	-0.7	-0.9	-0.7			0.7	-2.1	-1.6	-2.2
170	0.3	-1.2	-0.4	-1.1	0.7	-1.7	0.4	-2.0	-0.4	-1.7
171	-0.6	-1.2	-1.9	-1.5			0.0	-2.5	-0.2	-2.4
172	1.1	-0.6	0.8	-1.4	0.7	0.3	0.6	-2.3	0.1	-0.4
173	-1.1	-0.6	-1.7	-0.9					-2.1	
174	-0.7	-0.7	0.1	-1.6	-4.2			-2.7	-0.7	-2.1
175	0.2	-1.6	0.6	-1.8	1.3	0.6	-0.4	-1.9	-1.6	-2.4
176	-1.0	-2.0	-3.2	-1.6	-1.0		0.3	-1.8	-1.0	-2.6
177	0.1	-1.5	-1.4	-1.3	-0.6	0.0		-3.2	-1.2	-2.8
178	0.1	-1.2	0.5	-1.2	0.7	-0.8	-0.9	-1.9	-1.0	-2.2
